,grade,year,points,p1,p2,p3,p4,p5,p6,p7,p8,status,status_eng,region,region_eng,region_id,school
3168,9,2019,23,7,7,0,0,2,0,7,0,участник,participant,Удмуртская Республика,Udmurt republic,18.0,Муниципальное бюджетное общеобразовательное учреждение экономико-математический лицей №29
3169,9,2019,23,7,2,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3170,9,2019,23,7,2,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3171,9,2019,23,7,2,7,0,1,6,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 171"""
3172,9,2019,23,7,2,0,0,7,7,0,0,участник,participant,Республика Татарстан,Republic of Tatarstan,16.0,МАОУ «Лицей-интернат №2» Московского района г. Казани
3173,9,2019,23,7,0,2,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 444"""
3174,9,2019,22,2,0,7,0,5,7,0,1,участник,participant,Ростовская область,Rostov region,61.0,"Муниципальное бюджетное общеобразовательное учреждение города Ростова-на-Дону ""Лицей экономический №71"""
3175,9,2019,21,7,0,0,0,7,7,0,0,участник,participant,Республика Татарстан,Republic of Tatarstan,16.0,"МАОУ ""Лицей №131"" Вахитовского района г. Казани"
3176,9,2019,21,7,0,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1329"""
3177,9,2019,21,0,7,0,0,7,0,7,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное бюджетное общеобразовательное учреждение «Физико-математический лицей № 31 г. Челябинска»
3178,9,2019,21,7,7,0,0,7,0,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3179,9,2019,21,5,7,0,0,0,7,1,1,участник,participant,Москва,Moscow,77.0,"Общеобразовательная автономная некоммерческая организация ""Школа ""ЛЕТОВО"""
3180,9,2019,21,7,0,0,0,7,7,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3181,9,2019,21,7,0,0,0,7,0,7,0,участник,participant,Саратовская область,Saratov region,64.0,"Муниципальное автономное общеобразовательное учреждение ""Физико-технический лицей № 1"" г. Саратова"
3182,9,2019,20,4,2,7,0,0,7,0,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное бюджетное общеобразовательное учреждение «Физико-математический лицей № 31 г. Челябинска»
3183,9,2019,19,5,0,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 179"""
3184,9,2019,19,2,0,0,0,3,7,0,7,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 199"""
3185,9,2019,19,7,2,0,0,3,7,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3186,9,2019,19,5,0,0,0,7,7,0,0,участник,participant,Ивановская область,Ivanovo region,37.0,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №33"""
3187,9,2019,19,5,0,0,0,7,7,0,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 с углубленным изучением математики» города Магнитогорска
3188,9,2019,19,7,0,0,0,4,7,1,0,участник,participant,Москва,Moscow,77.0,"Общеобразовательная автономная некоммерческая организация ""Школа ""ЛЕТОВО"""
3189,9,2019,18,2,2,0,0,7,7,0,0,участник,participant,Кабардино-Балкарская Республика,Kabardino-Balkar Republic,7.0,"Государственное бюджетное общеобразовательное учреждение «Детская академия творчества «Солнечный город» Министерства просвещения, науки и по делам молодежи Кабардино-Балкарской Республики"
3190,9,2019,18,7,0,0,0,4,7,0,0,участник,participant,Новосибирская область,Novosibirsk region,54.0,муниципальное бюджетное общеобразовательное учреждение города Новосибирска «Гимназия №5»
3191,9,2019,17,7,2,0,0,7,1,0,0,участник,participant,Республика Татарстан,Republic of Tatarstan,16.0,"МАОУ ""Лицей №131"" Вахитовского района г. Казани"
3192,9,2019,16,6,0,0,0,3,7,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3193,9,2019,16,7,0,2,0,7,0,0,0,участник,participant,Алтайский край,Altai region,22.0,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия № 42"""
3194,9,2019,16,2,0,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3195,9,2019,16,0,2,0,0,7,7,0,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 с углубленным изучением математики» города Магнитогорска
3196,9,2019,15,5,0,0,0,3,7,0,0,участник,participant,Тверская область,Tver region,69.0,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением математики № 17 г. Тверь
3197,9,2019,15,7,1,0,0,7,0,0,0,участник,participant,Свердловская область,Sverdlovsk region,66.0,Специализированный учебно-научный центр федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н.Ельцина»
3198,9,2019,15,5,0,7,0,3,0,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3199,9,2019,15,5,0,2,0,7,0,1,0,участник,participant,Новосибирская область,Novosibirsk region,54.0,Муниципальное бюджетное общеобразовательное учреждение Куйбышевского района «Средняя общеобразовательная школа № 6»
3200,9,2019,15,7,0,0,0,7,0,1,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1329"""
3201,9,2019,15,5,2,2,0,6,0,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3202,9,2019,15,5,0,0,0,3,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
